main_artist_id,main_artist_name,popularity,song_id,song_length,song_name
2VZNmg4vCnew4Pavo8zDdW,max richter,62,370TxU3tPIvVLmCrGd2EZ6,78546,vladimir's blues
4EVpmkEwrLYEg6jIsiPMIb,fleet foxes,62,6T8qnBbc2rxlWLiweD1e5M,265773,blue ridge mountains
716ZwtZBmwROBXcFmCzfdM,andrew mcmahon in the wilderness,62,6uCmU6ldcsVpLAKNCojVg8,204840,fire escape
1n2pb9Tsfe4SwAjmUac6YT,jake owen,62,2yWtLaPCOUDyi7f1lOXCn5,209586,anywhere with you
3FUY2gzHeIiaesXtOAdB7A,train,62,2OpY5KKUvkYAkiY8FEG1Wi,204466,angel in blue jeans
0Xn4iSM6rXebCl4Ub50RFN,taken by trees,62,16i6f7yJWs1j67fxBjfc7z,302880,sweet child o' mine
0kbYTNQb4Pb1rPbbaF0pT4,miles davis,62,4vLYewWIvqHfKtJDk8c8tq,562640,so what
00tVTdpEhQQw1bqdu8RCx2,blue öyster cult,62,6N0AnkdDFZUetw8KAGHV7e,221400,godzilla
6vWDO969PvNqNYHIOW5v0m,beyoncé,61,2LjkT4gu5wO4JdeEYl0fMY,266920,blue
1yAwtBaoHLEDWAnWR87hBT,modest mouse,61,5jJ69cMDMC0aeWPjZo6VP2,187720,lampshades on fire
6G4hVmXKJ9NW5JecncK89f,phil woods,61,6f6OQJv9qjqyJq9NHin45n,394920,blue ballad
7mnBLXK823vNxN3UWB7Gfz,the black keys,61,3Hx7RXqCS7Kzjy2ot2q1Gk,246306,fever
7BMccF0hQFBpP6417k1OtQ,action bronson,61,6R7CioTXYmzAQY4G1G1vKm,182093,la luna
7BMccF0hQFBpP6417k1OtQ,action bronson,61,2J6gxlzzS5KMBxTGZlU00v,216843,hot pepper (feat. meyhem lauren and jah tiger)
1moxjboGR7GNWYIMWsRjgG,florence + the machine,61,20NEld0MhrR4Zpgrf9brq8,234526,ship to wreck
7BMccF0hQFBpP6417k1OtQ,action bronson,61,3ehsy345m4XHuRFPBlC0hn,154250,wolfpack
3AA28KZvwAUcZuOKwyblJQ,gorillaz,61,3PgIZG6N4bNzmBoqETxwPj,405893,busted and blue - yotto remix
5WUlDfRSoLAfcVSX1WnrxN,sia,61,2dMmMkZ7SEqFbzTJx4DijY,241120,house on fire
1FWybrAwiSa0zKibdLfZZr,blue foundation,61,3XHrTm6WE2BOHafLwTT3GR,302826,eyes on fire
7BMccF0hQFBpP6417k1OtQ,action bronson,61,6ur7NoA7h7ohK25GI2IJva,118006,bonzai
2EsmKkHsXK0WMNGOtIhbxr,mccoy tyner,60,1J9iVCaEriyoMXpj2XszhU,282320,when sunny gets blue
0orEyXhG0KnPEDVgpctNJI,djds,60,4anVBaJR1BIfp1Md7qfQat,226537,trees on fire
0RpddSzUHfncUWNJXKOsjy,neon trees,60,0K1KOCeJBj3lpDYxEX9qP2,228840,sleeping with a friend
07XSN3sPlIlB2L2XNcTwJw,kiss,60,1brpdmqkx3kSxyqzqXfW7J,201400,heaven's on fire
5CdJjUi9f0cVgo9nFuJrFa,adventure club,60,6xzUW6hrUQIrvKmzaXf0Jx,207470,firestorm (feat. sara diamond)
64rxQRJsLgZwHHyWKB8fiF,eiffel 65,60,7lMIJ4EFWRVoAIPDpeGyM3,219618,blue (da ba dee) - video edit
7BMccF0hQFBpP6417k1OtQ,action bronson,60,0xiqytHGhEf81aK1oSBmc3,192071,the choreographer
1o2NpYGqHiCq7FoiYdyd1x,bea miller,60,0Mk46SuJRp3DrHczSlEfOt,196333,song like you
1FWybrAwiSa0zKibdLfZZr,blue foundation,60,3Oiauiojgokw9vWQvFmEoI,320000,eyes on fire - zeds dead remix
0JDkhL4rjiPNEp92jAgJnS,roy orbison,60,0PkBTqRtN25z3oKasWoKlj,145533,only the lonely
7BMccF0hQFBpP6417k1OtQ,action bronson,60,5cemxRCYTnp6nZVnMdorkI,161187,tank (feat. big body bes)
0k17h0D3J5VfsdmQ1iZtE9,pink floyd,60,0ESdtt9cjGZUkUbaubSrv2,167239,goodbye blue sky
6tbjWDEIzxoDsBA1FuhfPW,madonna,60,6r8k1vznHrzlEKYxL4dZEe,242320,la isla bonita
0fPK3TAseRcy6sAS8U8pEw,john cafferty,60,5vI0C3TDTxySR6Oq8NWjE0,252772,hearts on fire
1sXbwvCQLGZnaH0Jp2HTVc,linda ronstadt,60,3zxklD2EGecZre9MjEEvIU,239399,blue bayou
7mnBLXK823vNxN3UWB7Gfz,the black keys,59,3xMQOd1C3TXsjQ3pmzOmkC,410186,weight of love
5EDkJDlRNcMs3ewliB24QA,lo-fang,59,1dEHQktvcM8vCCyI1x7yVB,204706,you're the one that i want
6kxCoNfY6U1eP0Yc88phvk,b.a.p,59,18yMTj71QJwQkybGfhYcaY,204261,honeymoon
5ZyBxKhm8yMw8HCMWE5u3b,anila mirela,59,47QCaHdf4ZZl2y43a2K9G8,148235,three trees
1lmjruOcvyQRZNIKUOlf68,komodo,59,76rZUnOHbjsmCEJOLH0OKd,198857,blue suede shoes
3IunaFjvNKj98JW89JYv9u,the japanese house,59,0Lbe98RKWwBbu1sipPSa4n,231333,cool blue
6TdfKQvrdHZdr4DIzjuWOr,canyon city,59,3YRlcnx8eaNEptkUaXbiVO,196711,blue (midnight version)
6WMo39FU3nrpSz3qMgRKug,black stone cherry,59,3UWYmWg9j8KVV08ANBqcLB,198680,white trash millionaire
2yEkZBBjhzKzt6LF5XMaFi,blue,59,6F9jdzX7CfixvCsCkW7zw9,210066,sorry seems to be the hardest word - feat. elton john
3WGpXCj9YhhfX11TToZcXP,troye sivan,59,5VrgqxF4HM4NgCboCTbMnL,261114,heaven
5bOsFzuJ6QZMr86ezC4oXY,the ink spots,59,7Ca88RFeeUu4Cn52sFxobX,182238,i don't want to set the world on fire
1TJbmc7jTpw78GKCiMpvDh,blue october,59,2SiqlgLMfKQbczSMRp8drY,239946,into the ocean
7eaa5bidliPI0djFYv166f,magic giant,59,49YNXgHWiNSxz2wGtXCVZ7,215653,set on fire
7BMccF0hQFBpP6417k1OtQ,action bronson,59,65Pca73SW2Uu4Twu40TgoM,120708,my right lung
1nJvji2KIlWSseXRSlNYsC,the velvet underground,59,7urDSX97YCwDNjzgrHHAnD,339533,pale blue eyes
2zVCLRV59G7nPOoKxj4xyY,alex cornell,59,1ZXSLHLp5AJnCp12UXdYiO,185500,sex on fire
1n2pb9Tsfe4SwAjmUac6YT,jake owen,59,7oizkVPKiJYU5CyTjrcVp0,194173,the one that got away
0epOFNiUfyON9EYx7Tpr6V,the strokes,59,6Yu1OL8I0D4vjOzYdsXYGK,153133,12:51
1W3FSF1BLpY3hlVIgvenLz,the-dream,59,17YVl4TzNHQlHIyokvt1TD,285066,code blue
5CdJjUi9f0cVgo9nFuJrFa,adventure club,59,0f3VCprEO3u4j93FtHxTbj,229436,forever (feat. ben stevenson)
4wyNyxs74Ux8UIDopNjIai,king krule,59,1jhtxc7ON8ZzgvWGPwWXUN,215506,baby blue
24Bq9F6DJfzTaqgmoxT5vm,corey harper,59,2eBC6ulVrVpXcZGcPSMamT,106942,i'm on fire - acoustic
7BMccF0hQFBpP6417k1OtQ,action bronson,59,1nycE6YlxjlIkvgjb6plsJ,246562,chop chop chop
3WGpXCj9YhhfX11TToZcXP,troye sivan,59,5PoWbm2gxIIgg7Ykx9oY8S,233759,suburbia
7BMccF0hQFBpP6417k1OtQ,action bronson,59,4x3y3X2gz4ePHoEXrrEUql,192000,let it rain
5VPCIIfZPK8KPsgz4jmOEC,the blue stones,58,0EXEmQZrGIEP1eyZTLbBKF,183978,black holes (solid ground)
10Z7WzKMeIdNBKexi1YarP,fame on fire,58,54SMw8TnDcuieolVRXBmni,236250,shape of you
6bOYtKnpLPQSfMpS2ilotK,bobby vinton,58,4QelFzhVgLomeQhvKrwM1S,168093,blue velvet
10Z7WzKMeIdNBKexi1YarP,fame on fire,58,4e3S4W8SmflgP8jwK2ceTZ,190451,xo tour llif3
438JBZR1AR0l04AzcYW9gy,harold melvin & the blue notes,58,3oI95Uihdvu7uCiirC1DQA,205573,if you don't know me by now
6WMo39FU3nrpSz3qMgRKug,black stone cherry,58,58VTMFtsoe0E0vSX1pV03h,189133,blame it on the boom boom
2hGh5VOeeqimQFxqXvfCUf,john coltrane,58,5p95DUZplmVxY0XCQ3hxUV,477760,i'm old fashioned - 2003 digital remaster
4pJCawaKSZ40EnxN0YEYw3,badfinger,58,6S3JlDAGk3uu3NtZbPnuhS,217346,baby blue - 2010 - remaster
27DGFhdWUeudNFbPJROkWF,comet blue,58,6a7FJsahzmctZdK8cudiuQ,197368,watch the sun
7jefIIksOi1EazgRTfW2Pk,electric light orchestra,58,0xAhbD6lCf5re1RXl5yiTm,229866,sweet talkin' woman
4LLpKhyESsyAXpc4laK94U,mac miller,58,2ZGBhrxA4ghKqoOMBdn966,162008,smile back
0kbYTNQb4Pb1rPbbaF0pT4,miles davis,58,2x91iJc0UkFcjRMEZ2CoWB,586400,freddie freeloader
1riHqX633Kup3mJAw8WR8p,kenny wayne shepherd,58,7GRq9NUgqhxPGUUksX02fk,333733,blue on black
3WGpXCj9YhhfX11TToZcXP,troye sivan,58,0M4tj5zmIrL4JpJUcE8D1F,213705,ease
7MSUfLeTdDEoZiJPDSBXgi,brian eno,58,4y5qZUZU5sojHT033PFP26,247946,a clearing - 2004 digital remaster
3rkCcFVpbFYCvnNKTT7LUe,i am oak,58,4x1nUSFFppEZZcfijHV1wy,176794,on trees and birds and fire
7MSUfLeTdDEoZiJPDSBXgi,brian eno,58,3an5DoMqoNpJEQwfA48A4c,274306,lizard point - 2004 digital remaster
7mnBLXK823vNxN3UWB7Gfz,the black keys,58,1pwWrPxonLIE12WWu9NzgU,222960,turn blue
3IYNUniWKkMmHKUHssC392,palm trees,58,2QTp2o96FG61yVAxZTHqSV,219787,casanova
6pDRa5fS3myWSP0fpIUcNl,evans blue,58,0rZoIrVRs72iYwl5qwI5tX,204200,erase my scars
16SfNGKDSxXGOzIkFH7SEI,the soul's release,58,4NearA5kPrSQgzSWGYKy4E,347960,catching fireflies
6FfjnGXMhxSsJTuGLWBDth,health,58,3saH0t0IajBaothaoG8ZCd,286346,"blue monday (from ""atomic blonde"")"
6N4HlHINMvoTyAL0yhBUCk,saib,58,3F0mcxksBp33QrL6oyjvLN,99996,sakura trees
5G49Sq5mMzAkGL4ZP6eVPY,the staves,58,14WxdK01IyDl3bumvqufxH,192053,i'm on fire
4wQ3PyMz3WwJGI5uEqHUVR,the allman brothers band,58,7uhGHDIJCKP5mbC0WidMAS,309386,blue sky
1TJbmc7jTpw78GKCiMpvDh,blue october,58,1tL40tfdtUaSLek4DvDDr3,380200,hate me
